DBCODE,ENTITY,TREEID,COMPONENT,YEAR_AGG,YEAR_RAW,BA_M2,VOL_M3,BIO_MG,JENKBIO_MG,SPECIES,TAG,TREE_STATUS,DBH,CHECK_NOTES
TP001,11,HR02000100011,VSW,2007,2007,2.556,64.5886,23.83317693,22.91187014,PISI,395,1,180.4,tree_status='3' has indicated fused tree stems in the past;  but changes to '1' in 2007; joined stem died; is this a joint dbf?
TP001,11,HR02000100012,VSW,1978,1978,1.9781,47.9024,17.67598949,16.99204459,PISI,396,1,158.7,
TP001,11,HR02000100012,VSW,1984,1984,2.0384,49.6088,18.30564947,17.59742009,PISI,396,1,161.1,
TP001,11,HR02000100012,VSW,1989,1989,2.0333,49.4653,18.25269666,17.54650944,PISI,396,1,160.9,NO GROWTH ON TAG
TP001,11,HR02000100012,VSW,1995,1995,2.0637,50.3299,18.57172876,17.85323815,PISI,396,1,162.1,
TP001,11,HR02000100012,VSW,2000,2000,2.146,52.6774,19.43795785,18.68606474,PISI,396,1,165.3,scar up entire length of tree w/ rot and conks;  lean 10 degrees --> from falling trees
TP001,11,HR02000100012,VSW,2007,2007,2.2565,55.8516,20.60924527,19.81219391,PISI,396,1,169.5,
TP001,11,HR02000100013,VSW,2007,2007,0.0025,0.0197,0.0072709,0.006963683,PISI,2497,2,5.6,
TP001,11,HR02000100014,VSW,2007,2007,0.0025,0.0109,0.004027103,0.006040525,RHPU,2600,2,5.6,
TP001,11,HR02000100015,VSW,2007,2007,0.0022,0.0096,0.004035466,0.004952278,TSHE,2623,2,5.3,
TP001,11,HR02000100016,VSW,2007,2007,0.0022,0.0096,0.004035466,0.004952278,TSHE,2625,2,5.3,
TP001,11,HR02000100017,VSW,2007,2007,0.0026,0.0121,0.005100892,0.006193799,TSHE,2728,2,5.8,
TP001,11,HR02000200001,VSW,1978,1978,0.0716,0.8845,0.371503696,0.371600351,TSHE,398,1,30.2,
TP001,11,HR02000200001,VSW,1984,1984,0.0755,0.9467,0.397624376,0.396507854,TSHE,398,1,31.0,
TP001,11,HR02000200001,VSW,1989,1989,0.0769,0.9707,0.407702405,0.406097772,TSHE,398,1,31.3,BROKEN TOP
