DBCODE,ENTITY,STANDID,SPECIES,YEAR_AGG,PORTION,TPH_NHA,BA_M2HA,VOL_M3HA,BIO_MGHA,JENKBIO_MGHA,NO_PLOTS
TP001,6,HR03,ALL,1984,INGROWTH,67,0.323,2.857,1.078,1.054,16
TP001,6,HR03,ALL,1984,LIVE,138,55.548,1376.265,513.119,490.472,16
TP001,6,HR03,ALL,1984,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,PISI,1989,INGROWTH,89,0.519,5.026,1.86,1.781,16
TP001,6,HR03,PISI,1989,LIVE,196,49.617,1261.38,465.511,447.463,16
TP001,6,HR03,PISI,1989,MORTALITY,2,0.007,0.059,0.022,0.021,16
TP001,6,HR03,THPL,1989,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,THPL,1989,LIVE,1,2.405,46.247,14.475,15.286,16
TP001,6,HR03,THPL,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,TSHE,1989,INGROWTH,2,0.009,0.049,0.021,0.024,16
TP001,6,HR03,TSHE,1989,LIVE,27,4.679,86.534,36.344,33.491,16
TP001,6,HR03,TSHE,1989,MORTALITY,2,2.432,73.654,30.935,25.911,16
TP001,6,HR03,ALRU,1989,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,ALRU,1989,LIVE,2,0.624,9.266,3.428,4.336,16
TP001,6,HR03,ALRU,1989,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,ALL,1989,INGROWTH,91,0.528,5.076,1.88,1.806,16
TP001,6,HR03,ALL,1989,LIVE,226,57.325,1403.427,519.758,500.577,16
TP001,6,HR03,ALL,1989,MORTALITY,4,2.439,73.713,30.956,25.932,16
TP001,6,HR03,PISI,1995,INGROWTH,67,0.306,2.785,1.03,0.987,16
TP001,6,HR03,PISI,1995,LIVE,255,49.291,1235.273,455.9,438.199,16
TP001,6,HR03,PISI,1995,MORTALITY,7,3.348,87.632,32.337,31.087,16
TP001,6,HR03,THPL,1995,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,THPL,1995,LIVE,1,2.469,47.72,14.937,15.744,16
TP001,6,HR03,THPL,1995,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,TSHE,1995,INGROWTH,4,0.034,0.226,0.095,0.107,16
TP001,6,HR03,TSHE,1995,LIVE,31,5.008,93.255,39.167,36.036,16
TP001,6,HR03,TSHE,1995,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,ALRU,1995,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,ALRU,1995,LIVE,2,0.657,9.893,3.661,4.615,16
TP001,6,HR03,ALRU,1995,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,ALL,1995,INGROWTH,71,0.34,3.011,1.125,1.094,16
TP001,6,HR03,ALL,1995,LIVE,289,57.426,1386.142,513.664,494.594,16
TP001,6,HR03,ALL,1995,MORTALITY,7,3.348,87.632,32.337,31.087,16
TP001,6,HR03,PISI,2000,INGROWTH,52,0.189,1.637,0.606,0.58,16
TP001,6,HR03,PISI,2000,LIVE,293,49.744,1239.654,457.537,439.752,16
TP001,6,HR03,PISI,2000,MORTALITY,14,2.956,71.695,26.46,25.432,16
TP001,6,HR03,THPL,2000,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,THPL,2000,LIVE,1,2.587,50.481,15.801,16.599,16
TP001,6,HR03,THPL,2000,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,TSHE,2000,INGROWTH,1,0.006,0.037,0.016,0.018,16
TP001,6,HR03,TSHE,2000,LIVE,29,5.269,100.204,42.086,38.569,16
TP001,6,HR03,TSHE,2000,MORTALITY,4,0.139,1.602,0.673,0.682,16
TP001,6,HR03,ALRU,2000,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,ALRU,2000,LIVE,2,0.704,10.774,3.987,5.006,16
TP001,6,HR03,ALRU,2000,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,ALL,2000,INGROWTH,53,0.195,1.674,0.621,0.598,16
TP001,6,HR03,ALL,2000,LIVE,325,58.304,1401.114,519.41,499.926,16
TP001,6,HR03,ALL,2000,MORTALITY,17,3.095,73.297,27.133,26.114,16
TP001,6,HR03,PISI,2007,INGROWTH,92,0.626,6.408,2.371,2.271,16
TP001,6,HR03,PISI,2007,LIVE,358,54.63,1339.852,494.555,475.291,16
TP001,6,HR03,PISI,2007,MORTALITY,31,0.173,1.635,0.605,0.58,16
TP001,6,HR03,THPL,2007,INGROWTH,0,0,0,0,0,16
TP001,6,HR03,THPL,2007,LIVE,1,2.57,50.081,15.676,16.475,16
TP001,6,HR03,THPL,2007,MORTALITY,0,0,0,0,0,16
TP001,6,HR03,TSHE,2007,INGROWTH,2,0.313,5.95,2.499,2.296,16
TP001,6,HR03,TSHE,2007,LIVE,30,6.163,119.714,50.28,45.896,16
TP001,6,HR03,TSHE,2007,MORTALITY,1,0.006,0.037,0.016,0.018,16
